""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D103"	"Adenylosuccinate Lyase Deficiency"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D104"	"AICA-Ribosiduria"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D131"	"Molybdenum Cofactor Deficiency"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D136"	"Purine Nucleoside Phosphorylase Deficiency"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D142"	"Xanthine Dehydrogenase Deficiency (Xanthinuria)"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D206"	"Lesch-Nyhan Syndrome (LNS)"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D207"	"Gout or Kelley-Seegmiller Syndrome"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D214"	"Azathioprine Action Pathway"	"HMDB0000641;HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	96	0.365079365079365
"D215"	"Mercaptopurine Action Pathway"	"HMDB0000641;HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	94	0.365079365079365
"D217"	"Thioguanine Action Pathway"	"HMDB0000641;HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	95	0.365079365079365
